ClassID,LoadedFrom,FileName,ClassName,LogLevel,ClassHash,ClassLoaderID
28,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/classes/,org/adoptopenjdk/jitwatch/model/bytecode/Opcode,org/adoptopenjdk/jitwatch/model/bytecode/Opcode,Normal,5cdb33e7d09e975dfc95d1e1724437e739447108,Loader@251a69d7:org/adoptopenjdk/jitwatch/model/bytecode/Opcode
29,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/classes/,org/adoptopenjdk/jitwatch/jarscan/sequencecount/InstructionSequence,org/adoptopenjdk/jitwatch/jarscan/sequencecount/InstructionSequence,Normal,ab08c645dff3392aad34ca21909464706b458b52,Loader@251a69d7:org/adoptopenjdk/jitwatch/jarscan/sequencecount/InstructionSequence
30,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestJITWatchConfig,org/adoptopenjdk/jitwatch/test/TestJITWatchConfig,Normal,2ad54bf85824cb5cc5464588b82a53178b2b38fe,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestJITWatchConfig
31,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestLineTable,org/adoptopenjdk/jitwatch/test/TestLineTable,Normal,f92ea6377489719f1d87bdd01e4da279cf7e09a4,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestLineTable
32,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestLocales,org/adoptopenjdk/jitwatch/test/TestLocales,Normal,22e3b6d65433aa59e1616619cd5c38d2c2d717aa,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestLocales
33,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestLogSplitting,org/adoptopenjdk/jitwatch/test/TestLogSplitting,Normal,c1b89245169278b5a4713cc2fa22b1d13dc51db5,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestLogSplitting
34,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/classes/,org/adoptopenjdk/jitwatch/parser/ILogParser,org/adoptopenjdk/jitwatch/parser/ILogParser,Normal,d1c0a8678fd5543736b1d049beaec5982a55203e,Loader@251a69d7:org/adoptopenjdk/jitwatch/parser/ILogParser
35,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestMemberBytecode,org/adoptopenjdk/jitwatch/test/TestMemberBytecode,Normal,3a6c6b86604afb2accaf2c9fac909b02c23d4f42,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestMemberBytecode
36,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestMemberSignatureParts,org/adoptopenjdk/jitwatch/test/TestMemberSignatureParts,Normal,67c417dbd92bfd643ba7ba0709bf5ee3e4bc0c5c,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestMemberSignatureParts
37,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/classes/,org/adoptopenjdk/jitwatch/model/MemberSignatureParts,org/adoptopenjdk/jitwatch/model/MemberSignatureParts,Normal,056c40e10dd5e5964b1db11b72fe6dc019686ffc,Loader@251a69d7:org/adoptopenjdk/jitwatch/model/MemberSignatureParts
38,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestMetaClass,org/adoptopenjdk/jitwatch/test/TestMetaClass,Normal,830da4d36a05147f9cd4382b1f5498a44c61d98f,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestMetaClass
